global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
3017,2800,Street/Location,Blue Tokai Coffee Roasters,0.15,1,1,0,0.16322742585319466,1
3018,2801,Street/Location,Bommanahalli,0.15,1,1,0,0.15596231054388796,1
3019,2803,Street/Location,Krishnappa Layout,0.15,1,1,0,0.1580002442611057,1
3020,2805,Street/Location,Madhura Nagara Sorahunase Main Road,0.15,1,1,0,0.15587586900273168,1
3021,2798,Street/Location,Nandini Layout Park Road,0.15,1,1,0,0.15639885060043637,1
3022,2796,Street/Location,Rajanna Lane,0.15,1,1,0,0.16351423961347483,1
3023,2799,Street/Location,Terminal 2 Arrivals Road,0.15,1,1,0,0.154802959467833,1
3024,2802,Street/Location,MK Paiya Road,0.15,1,1,0,0.1600204435056712,1
3025,2804,Street/Location,731,0.15,1,1,0,0.16318595503337613,1
3026,2797,Street/Location,Anantha sishu nivasa,0.15,1,1,0,0.15826324892140856,1
3027,2816,Street/Location,Ashokapuram,0.14,1,1,0,0.14877291440502396,1
3028,2817,Street/Location,Basaveshwaranagar Flyover,0.14,1,1,0,0.14755107381278235,1
3029,2814,Street/Location,819,0.14,1,1,0,0.14759539005399894,1
3030,2815,Street/Location,Bharathi Nagar,0.14,1,1,0,0.14924792942574464,1
3031,2819,Street/Location,Sri Rama Appliances,0.14,1,1,0,0.15120511295023706,1
3032,2818,Street/Location,Rama Iyengar Road,0.14,1,1,0,0.14772500616757775,1
3033,2811,Street/Location,Shamanna Road,0.14,1,1,0,0.147561299456512,1
3034,2806,Street/Location,Kannada Ship,0.14,1,1,0,0.15125751459993583,1
3035,2810,Street/Location,Kundalahalli Colony,0.14,1,1,0,0.15277450015174956,1
3036,2809,Street/Location,Vyasaraya Ballal Road,0.14,1,1,0,0.14749314188177523,1
3037,2813,Street/Location,Krishna Road,0.14,1,1,0,0.15143931429350957,1
3038,2812,Street/Location,E2 Street,0.14,1,1,0,0.14780351331693212,1
3039,2808,Street/Location,Ayyappa Garden Main Road,0.14,1,1,0,0.1478342448617841,1
3040,2807,Street/Location,Government School Sorahunase,0.14,1,1,0,0.1475408488776652,1
3041,2828,Street/Location,Leon Grill,0.13,1,1,0,0.14202971254422578,1
3042,2829,Street/Location,Sanjay Nagar Road,0.13,1,1,0,0.13780249701409875,1
3043,2823,Street/Location,Tulsi Theatre Main Road,0.13,1,1,0,0.14211832410658284,1
3044,2822,Street/Location,Kalkere Main Road,0.13,1,1,0,0.13875437435079185,1
3045,2825,Street/Location,J.C.N Complex,0.13,1,1,0,0.14200674819642498,1
3046,2824,Street/Location,Srinagar,0.13,1,1,0,0.13781841412169915,1
3047,2826,Street/Location,1st E Cross Road,0.13,1,1,0,0.1421478735777257,1
3048,2827,Street/Location,Ahmed Sait Road,0.13,1,1,0,0.14426499897065903,1
3049,2821,Street/Location,Dyu Art Cafe,0.13,1,1,0,0.13893719256745982,1
3050,2820,Street/Location,49th Cross Road,0.13,1,1,0,0.14532528562126878,1
3051,2836,Street/Location,Jyoti Nivas Women's College,0.12,1,1,0,0.12948824165445916,1
3052,2837,Street/Location,Marenahalli,0.12,1,1,0,0.12882589981586068,1
3053,2832,Street/Location,Bismillah Chicken & Mutton Center,0.12,1,1,0,0.12960495017482507,1
3054,2833,Street/Location,Bhima,0.12,1,1,0,0.13558588524598533,1
3055,2831,Street/Location,೩ನೇ ಅಡ್ಡ ರಸ್ತೆ,0.12,1,1,0,0.1347646574458857,1
3056,2830,Street/Location,Cafe Awesome,0.12,1,1,0,0.12962291466582979,1
3057,2835,Street/Location,New Ambur Hot Biriyani,0.12,1,1,0,0.13140467436635572,1
3058,2834,Street/Location,RMZ Ecospace Road,0.12,1,1,0,0.13134094541752686,1
3059,2848,Street/Location,Royal Andhra Spice,0.11,1,1,0,0.12270019966561124,1
3060,2849,Street/Location,G R Vishwanath Underpass,0.11,1,1,0,0.12672733108013098,1
3061,2846,Street/Location,HDFC Bank Parking,0.11,1,1,0,0.12584051849107744,1
3062,2847,Street/Location,Someshwarpura,0.11,1,1,0,0.11996757272616743,1
3063,2851,Street/Location,Sobha Indraprastha,0.11,1,1,0,0.12584051849107744,1
3064,2850,Street/Location,Kristal Jasper,0.11,1,1,0,0.12364482968516814,1
3065,2839,Street/Location,Munimarappa Road,0.11,1,1,0,0.12261519788376221,1
3066,2838,Street/Location,Faia,0.11,1,1,0,0.12369339454487165,1
3067,2841,Street/Location,John Armstrong Road,0.11,1,1,0,0.12083253503309536,1
3068,2840,Street/Location,M.M Plaza,0.11,1,1,0,0.1265664262424359,1
3069,2842,Street/Location,The Executive Centre,0.11,1,1,0,0.12080183538649876,1
3070,2843,Street/Location,Chikkanayakanahalli Road,0.11,1,1,0,0.12390501685556474,1
3071,2845,Street/Location,KM Lane,0.11,1,1,0,0.12580854647754522,1
3072,2844,Street/Location,Kamalamma M Rangegowda Road,0.11,1,1,0,0.12670976788920058,1
